issue_number,issue_url,label_name,label_description,label_colour,label_url,fetched_at
352,https://github.com/digital-land/planning-application-data-specification/issues/352,Submissions,,e9186f,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Submissions,2026-04-01T05:44:27+00:00
352,https://github.com/digital-land/planning-application-data-specification/issues/352,Implementation,,5fc86a,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Implementation,2026-04-01T05:44:27+00:00
352,https://github.com/digital-land/planning-application-data-specification/issues/352,Planning permission board,For all tickets on planning permission board,dc3bf6,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Planning%20permission%20board,2026-04-01T05:44:27+00:00
350,https://github.com/digital-land/planning-application-data-specification/issues/350,Policy,,D89782,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Policy,2026-04-01T05:44:27+00:00
350,https://github.com/digital-land/planning-application-data-specification/issues/350,Submissions,,e9186f,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Submissions,2026-04-01T05:44:27+00:00
350,https://github.com/digital-land/planning-application-data-specification/issues/350,Implementation,,5fc86a,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Implementation,2026-04-01T05:44:27+00:00
350,https://github.com/digital-land/planning-application-data-specification/issues/350,Data modelling,,d06618,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Data%20modelling,2026-04-01T05:44:27+00:00
350,https://github.com/digital-land/planning-application-data-specification/issues/350,to-check,,232198,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/to-check,2026-04-01T05:44:27+00:00
344,https://github.com/digital-land/planning-application-data-specification/issues/344,suggestion,,93F01E,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/suggestion,2026-04-01T05:44:27+00:00
344,https://github.com/digital-land/planning-application-data-specification/issues/344,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
344,https://github.com/digital-land/planning-application-data-specification/issues/344,Submissions,,e9186f,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Submissions,2026-04-01T05:44:27+00:00
344,https://github.com/digital-land/planning-application-data-specification/issues/344,Improvement,,9e2d80,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Improvement,2026-04-01T05:44:27+00:00
344,https://github.com/digital-land/planning-application-data-specification/issues/344,Data modelling,,d06618,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Data%20modelling,2026-04-01T05:44:27+00:00
335,https://github.com/digital-land/planning-application-data-specification/issues/335,Backlog,Parked issues are active issues that are unlikely to be resolved for the initial draft,CD5005,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Backlog,2026-04-01T05:44:27+00:00
335,https://github.com/digital-land/planning-application-data-specification/issues/335,Technical,,e257f7,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Technical,2026-04-01T05:44:27+00:00
335,https://github.com/digital-land/planning-application-data-specification/issues/335,enhancement,Improving what we already have,a2eeef,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/enhancement,2026-04-01T05:44:27+00:00
335,https://github.com/digital-land/planning-application-data-specification/issues/335,Integration,,b6aa55,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Integration,2026-04-01T05:44:27+00:00
335,https://github.com/digital-land/planning-application-data-specification/issues/335,Planning permission board,For all tickets on planning permission board,dc3bf6,https://api.github.com/repos/digital-land/planning-application-data-specification/labels/Planning%20permission%20board,2026-04-01T05:44:27+00:00
